,Country,Prize,NumPlayers,Year
118,Isle of Man,$60.00,1 Player,2020
119,Saint Barthélemy,$7.63,1 Player,2020
120,Monaco,$1.17,1 Player,2020
0,China,"$45,790,406.53",1291 Players,2021
1,United States,"$25,883,306.01",3865 Players,2021
2,Russian Federation,"$22,354,751.68",956 Players,2021
3,"Korea, Republic of","$12,401,315.17",944 Players,2021
4,Ukraine,"$10,362,809.85",309 Players,2021
5,Japan,"$8,344,026.78",631 Players,2021
6,Brazil,"$8,078,403.13",1014 Players,2021
7,United Kingdom,"$6,026,935.89",751 Players,2021
8,France,"$5,542,893.65",946 Players,2021
9,Denmark,"$5,349,250.75",311 Players,2021
10,Canada,"$4,850,405.41",619 Players,2021
11,Thailand,"$4,544,939.89",498 Players,2021
12,Germany,"$4,123,019.78",979 Players,2021
13,Sweden,"$3,489,245.73",382 Players,2021
14,Poland,"$3,372,975.53",512 Players,2021
15,Malaysia,"$3,068,886.71",182 Players,2021
16,Philippines,"$3,011,883.78",291 Players,2021
17,Indonesia,"$2,954,329.44",416 Players,2021
18,Australia,"$2,741,391.41",557 Players,2021
19,Finland,"$2,703,034.18",284 Players,2021
20,"Taiwan, Republic of China","$2,182,649.08",231 Players,2021
21,Turkey,"$2,004,406.99",386 Players,2021
22,Viet Nam,"$1,954,214.84",293 Players,2021
23,Spain,"$1,701,745.47",335 Players,2021
24,Peru,"$1,324,786.66",144 Players,2021
25,Netherlands,"$1,270,515.44",393 Players,2021
26,Saudi Arabia,"$1,229,032.63",201 Players,2021
27,Norway,"$1,196,708.23",185 Players,2021
28,Argentina,"$1,178,858.79",267 Players,2021
29,Mexico,"$1,058,819.98",199 Players,2021
30,Czech Republic,"$945,351.30",201 Players,2021
31,Singapore,"$928,080.49",139 Players,2021
32,Kazakhstan,"$916,210.92",64 Players,2021
33,Italy,"$875,728.37",262 Players,2021
34,Estonia,"$860,190.20",90 Players,2021
35,Jordan,"$845,300.55",23 Players,2021
36,Bulgaria,"$694,382.42",82 Players,2021
37,India,"$680,119.52",280 Players,2021
38,Serbia,"$649,744.11",67 Players,2021
39,Slovenia,"$648,616.87",24 Players,2021
40,Mongolia,"$584,276.92",74 Players,2021
41,Pakistan,"$543,335.01",51 Players,2021
42,Lithuania,"$521,993.66",76 Players,2021
43,Chile,"$507,708.50",144 Players,2021
44,Belarus,"$505,305.79",67 Players,2021
45,Belgium,"$479,864.29",154 Players,2021
46,Israel,"$453,603.22",41 Players,2021
47,Portugal,"$439,146.05",163 Players,2021
48,Switzerland,"$406,934.63",144 Players,2021
49,"Moldova, Republic of","$399,808.05",15 Players,2021
50,Croatia,"$384,693.87",53 Players,2021
51,Austria,"$353,536.49",97 Players,2021
52,North Macedonia,"$351,758.87",28 Players,2021
53,Bosnia and Herzegovina,"$328,655.31",25 Players,2021
54,Romania,"$309,861.50",124 Players,2021
55,Hong Kong,"$296,469.30",83 Players,2021
56,Slovakia,"$273,121.29",71 Players,2021
57,Latvia,"$255,434.36",74 Players,2021
58,South Africa,"$245,787.37",154 Players,2021
59,Azerbaijan,"$225,270.32",15 Players,2021
60,Uruguay,"$224,110.19",30 Players,2021
61,Hungary,"$213,166.95",132 Players,2021
62,Nepal,"$208,241.75",56 Players,2021
63,Greece,"$191,273.11",73 Players,2021
64,Bolivia,"$188,687.66",8 Players,2021
65,New Zealand,"$186,811.92",59 Players,2021
66,Colombia,"$178,510.96",60 Players,2021
67,Morocco,"$163,673.56",39 Players,2021
68,Armenia,"$162,057.23",9 Players,2021
69,Lebanon,"$156,604.33",31 Players,2021
70,Iraq,"$154,635.36",24 Players,2021
71,Ireland,"$152,372.39",45 Players,2021
72,Myanmar,"$122,194.75",15 Players,2021
73,Egypt,"$111,697.03",35 Players,2021
74,Uzbekistan,"$100,950.00",6 Players,2021
75,"Iran, Islamic Republic of","$92,677.79",38 Players,2021
76,Syrian Arab Republic,"$91,764.03",13 Players,2021
77,Algeria,"$84,770.94",17 Players,2021
78,Georgia,"$84,294.07",25 Players,2021
79,Afghanistan,"$76,333.33",3 Players,2021
80,"Kosovo, Republic of","$75,781.87",19 Players,2021
81,Puerto Rico,"$73,398.17",17 Players,2021
82,Bangladesh,"$67,110.29",22 Players,2021
83,Ecuador,"$64,816.89",11 Players,2021
84,Kuwait,"$56,726.48",12 Players,2021
85,Kyrgyzstan,"$53,675.77",9 Players,2021
86,Venezuela,"$53,124.08",20 Players,2021
87,Dominican Republic,"$50,232.32",14 Players,2021
88,United Arab Emirates,"$44,304.47",27 Players,2021
89,Senegal,"$40,052.50",2 Players,2021
90,Albania,"$37,555.37",33 Players,2021
91,Cambodia,"$36,750.00",24 Players,2021
92,Tunisia,"$31,540.43",12 Players,2021
93,Cuba,"$29,141.58",4 Players,2021
94,Macao,"$25,892.58",5 Players,2021
95,Lao People's Democratic Republic,"$24,444.32",6 Players,2021
96,Honduras,"$22,878.87",6 Players,2021
97,Nicaragua,"$21,231.36",2 Players,2021
98,Guatemala,"$21,122.05",6 Players,2021
99,Montenegro,"$20,767.50",3 Players,2021
100,Bahrain,"$19,131.46",8 Players,2021
101,Iceland,"$16,879.26",17 Players,2021
102,Luxembourg,"$13,984.72",9 Players,2021
103,Costa Rica,"$10,810.00",7 Players,2021
104,Malta,"$10,369.90",46 Players,2021
105,"Palestinian Territory, Occupied","$10,226.20",3 Players,2021
106,Qatar,"$5,758.25",4 Players,2021
107,Yemen,"$5,170.00",1 Player,2021
108,Sri Lanka,"$5,166.20",3 Players,2021
109,"Tanzania, United Republic of","$4,500.00",1 Player,2021
110,Monaco,"$4,375.00",1 Player,2021
111,Panama,"$2,300.00",2 Players,2021
112,Oman,"$1,600.00",1 Player,2021
113,French Polynesia,"$1,500.00",1 Player,2021
114,Angola,"$1,200.00",3 Players,2021
115,Brunei Darussalam,"$1,041.67",6 Players,2021
116,Guyana,$700.00,1 Player,2021
117,Paraguay,$427.00,6 Players,2021
118,Isle of Man,$410.00,1 Player,2021
119,Jamaica,$226.00,2 Players,2021
120,Gibraltar,$225.00,1 Player,2021
121,Mauritius,$175.00,5 Players,2021
122,Guernsey,$159.90,1 Player,2021
123,Wallis And Futuna,$100.00,1 Player,2021
124,Zimbabwe,$100.00,1 Player,2021
